#,Topic,Title,Context,Challenge,Potential Solution(s),Needed Resources,"Submissions by public entities, Universities and hospitals"
1,Art & Culture,The Digital Stage,"Online Rehearsals and Performances by Music and Theatre Groups, without the need to meet on a real stage","Low-Latency and Central Mixdown / Greenscreen Video Conference Tool, designed for Artistic Needs & Applications",This is Project No 265 of the German wirvsvirushackathon.org ( digital-stage.net ),All kinds of support,
88,Family & Kids,Serious Games against Microbes,Hygiene measures that to be followed to combat the coronavirus are clearly defined and widely communicated. The are key to successful fighting the dissemination of COVID-19.,How can we use a serious-game approach to raise awareness of these hygiene measures in a different way to increase these practices? Education and training will help children to avoid infection and becoming vectors.,Different solutions have been submitted: Electronic and non electronic game to make children develop right habits and skills to avoid contamination for themself and others ,"Different resources have been requested:
- Serious game concept, prototype, target group and communication strategy.
- I have ideas on what types of games to do, but I need informaticiens, developers, entrepreneur to build it.",
89,Family & Kids,Parentslack - Online community for parents and family-experts,"Parents have to reconcile childcare, household and home-office. ","Parenting was already difficult before Corona. Now, families have to deal with way more challenges like home-schooling, home-office, feeling of exhaustion and isolation, stressed and bored children. Many of them lack ideas  and tools for organsiaton and day-to-day planning. ","An digital-community for parents, created with slack. It will give parents access to a community of other, supporting parents, as well as ideas for games and activities at home and ""Ask-me-anything""-chats with family-experts. A special channel will be about ""digital babysitting and playdates"". First draft of a landingpage: www.parentslack.de","Expertise for security/trust/safety issues, marketing/influencer and PR support, organisation, content and project management for the set up of the slack community, admins who can help encouraging the communication as well as giving answers/advices to parents",
90,Family & Kids,Créer une Bande Dessinée Bonne Santé,La population attrape moins de virus avec un système immunitaire plus fort. ,Les scientifiques n'ont pas toujours les outils pour la sensibilisation du grand public. Comment peut-on aider à raconter une histoire?,"Créer une bande dessinée qui raconte différentes options de booster son système immunitaire, pour maximiser les chances de rester en bonne santé.","Graphiste, Maison d'édition, Storytelling, Scientifique, Expert livre électronique",
91,Family & Kids,The Generation Bridger,"Grandparents can't look after their grandchildren anymore. Parents who still work have to reorganize child care and arrange homeschooling. Old and young generations miss physical contact, kids lack alternative care, and parents have additional time pressure.","How can we bridge the physical and emotional gap between grandparents and their grandchildren? Some sporadic skype calls don't help. The needs are different: a simple technology for grandparents, fun for the kids, and regular remote support for parents. ","The Generation Bridger could be a simple, but attractive online game with edutainment-oriented challenges to be solved by the young and old together. If a challenge takes 1 hour (incl. further infos, chatting), parents gain some valuable time.","Specialists in edutainment, coding, app / platform developement, gamification. Interested teachers, parents, grandparents, and generation bridgers. ",
92,Home Office & Teamwork,Structure your (Work or Study) Day in Isolation,"Students and employees are forced to work in a productive way from their homes, mostly in isolation.",Students and employees complain how difficult it is to find some structure while workin in isolation at home. ,"a list of easy-to achieve structuring mechanisms for working at home (formal, informal, explicit, implicit)","ideas, experience of individuals that are used to working in their home office, best practices",
93,Home Office & Teamwork,HomeOffice for beginners,"Home Office is not easy. No space, noisy children, no techy, working at home is not working!", How can the blurring of the boundaries between work and family life be better mastered by the current situation in the home office? How to get home office workes up to speed and keep them confortable?,,"There are may trainings like linkedIn learning, but also targeting not the non techy...",
94,Home Office & Teamwork,Reconfigure the office,Office layouts are not prepared to be easily re-configured to allow work during crisis. ,"How can we easily re-configure office space, especially in open space settings? Are there any low-cost solutions to that?",Moving walls from cardboard. Inflatable elements. Big Lego blocks.,I have office spaces available that could be reconfigured (nest.empa.ch). I need group of interdisciplinary people to create ideas and concepts.,
95,Home Office & Teamwork,HR management tool for crisis situations,"In the context of a crisis such as the one we are going through, the commitment of human resources can be extraordinary over a given period of time. ","For a team leader during an extended stress period, it is essential to be able to anticipate and maintain the effective management of his or her team while respecting the physical and mental health of individual team members. How can he or she best do that?","A tool for reporting stress and health conditions (including COVID-19 symptoms) by team members would facilitate the systematic and effective management of teams,  as well as the assessment of their state of health (physical and mental) in exceptional situations.","A concept and, if possible, a functioning prototype.",Genève Lab (State of Geneva)
96,Home Office & Teamwork,"Idependent, secure and free digital tools to work (videoconf, chat)","Independent chat solutions are extremely important right now. The cat must work as a federated system like email, landline or mobile phone to be *independent*. Social contacts must be maintained in digital form - without enriching companies.","Security, cost, independence",Install some jitsi meet video conf System on Swiss Clouds to be independant (One min Per canton),"Swiss Clouds, IT team, People with expertise in AR/VR, also maybe Game Designers",
97,Home Office & Teamwork,The benefits of homeoffice,The current health emergency has forced many companies to adapt their way of working to home working by necessity. ,"The ""forced"" use of the homeoffice used to continue working in compliance with safety standards and social distance following the health emergency should lead to reflect on the positive aspects of this way of working and not only on what cannot be done working from home. The positive aspects are also benefits that have an impact on society, the most important of which are the reduction of traffic and lack of parking spaces and the family-work conciliation that if well structured allows you to work efficiently and productively and at the same time to be more present for your family especially if you have children at home. So how to encourage the use of homeoffice wherever possible and in a flexible way even after the crisis?


Translated with www.DeepL.com/Translator (free version)",Types of jobs where it is possible to suggest in certain cases and situations to allow the use of this way of working for a certain % of the weekly work and models that can be used already implemented in other cases. Moving from an hourly job to a task-based job,"List of jobs and tasks that can be done remotely and sectors in general. General trend especially for new jobs of the millennials (digital nomads) and successful practical cases. Tool for remote work and ""control"" of tasks by the team.",
98,Home Office & Teamwork,Deap learning at the service of interpersonal communication,"We work via teleworking, video conferencing. In this context, through a screen, creating or building trust becomes a challenge. ",Assessment of congruence thanks to deap learning assistance,We are developing a deap learning machine that can read and analyze the different signals emitted by humans in order to establish their congruence. It is a tool that allows us to go back over cognitive biases in order to be sure to understand the reality of our interlocutor and in this sense optimize interpersonal communication.,"We have the support of Innosuisse. But to go faster and enable our deap learning machine to go from crawling to standing, we are looking for partners and / or experts in engineering and deap learning, financiers, and so on.",
99,Hospital & Medical Care,Public Resource Telehealth Directory,A single resource directory for ALL existing telehealth services and providers for public to access,"No single Directory exists which includes ALL existing telehealth services and providers, for public to access, for anything, from anywhere.","A verified, centralized Public Resource Directory with all available telehealth services and providers, for individuals looking to find telemedicine consults, anywhere, anytime.","I have a list of some existing services and providers for the directory, but need help with wider public dissemination of the directory for public access.",
100,Hospital & Medical Care,Light up the effective treatments,"It may be still not sure what treatments are actually needed depending on the stage of symptoms, age and chronic diseases.","We have enormous data from cases these days. Can we establish the guideline of the treatments depending on the stage of symptoms, age and chronic diseases by analyzing those data?",Machine learning techniques may be a good solution to find a hint quickly,"The cases of COVID-19 from all over the world with some parameters (age, what chronic diseases the person had, death or recovered, how was the symptoms, what treatments were done etc...)",
101,Hospital & Medical Care,Platform for connecting medical equipment suppliers and consumers,"Today it is very complicate to find (and buy) some protective equipments and materials like masks, especially for doctors working in medical practices.",Coping with the shortage of protective medical equipment.,"Set up a trustable digital plateform where medical staff can find, share, exchange and buy medical stuff.",,Hôpitaux Universitaires de Genève
102,Hospital & Medical Care,Global COVID-19 Supply Store,"Healthcare providers and government agencies around the world are trying to identify where to purchase essential supplies for the COVID-19 response, such as masks and test kits. Many sellers are using this opportunity to sell products at unfair prices through different channels.","How can we collect and curate reliable information on available supplies (including new and innovative solutions developed for COVID-19) with fair and accurate pricing, open to all who need to procure, including in developing countries? How can we help countries that need small quantities get prices comparable to those that place large orders?","An updated, openly accessible mapping of essential materials & prices that can be accessed by governments, healthcare providers and other key procurers & a way to connect supply to needs transparently.","We have a list of what are considered essential supplies for COVID-19. We need up-to-date expertise on approving new solutions and verifying fair pricing, plus technology expertise on how to coordinate and disseminate info globally.",UNAIDS / Health Innovation Exchange
103,Hospital & Medical Care,How to get Local & Reusable Masks?,"There is a shortage of protective masks in Switzerland. What is needed is a mask that uses significantly less filter material, is easy to clean, can be reused and provides good protection.","A mask is needed that is reusable and can be produced locally, maybe even at home.","Several solutions have been suggested:
 - Development of a mask which requires filter material only at the air outlet. The rest of the mask can be cleaned and reused. A mask made of solid, easy to clean material is complemented with a soft face connection and a head holder. The filter can be changed easily. Different filter materials can be used. 
 - LOCAL PRODUCTION of reusable masks with clear plastic faceguard, silicone or other gloves that are in ""anti-microbial"" material to touch lift button and other thinks - then turn inside out to put it in the bag - and in case of need again turn it - and after wash it to clean it. Develop anti-microbial tissue / rubber / plastic.
 - Quickly buy at low price the old kites all over the world. And produce masks.
 - Swoxid proposes a reusable, UV-light sterilizable antiviral face mask. It can be reused more than 1000 times.
 - An easy way to get off from the protective clothing after the use. Or, an easy way to sanitise the protective clothing before undressing. (saving waste to)
 - As an interim solution, self-made masks would be better than no masks for use in public spaces.
 - Hold mask manufacturing workshops, which do not require much experience, and the production process is very easy, we just have to provide the right fabric and sewing machines. Then we can work from anywhere, we can even distribute the work to their homes. Only for the cutting process we need a large room that contains a large table and electric scissors. After the cutting process, the supervisor distributes the work to the workers and explains the work mechanism.","Different resources have been requested:
 - I need people who develop ideas for the soft face connection and head holder. Also competence in injection moulding and 3D printing. Video and marketing specialists for communication. Contacts to the industry. 
 - I need collection points in major cities to collect old kites, project coordinators as well as material and tailors.
 - Entrepreneurs, engineers
 - We are experts in the filter manufacturing but we need people to propose : i) mask designs, ii) material to be used, iii) certification requirements, iv) best manufacturing practices
 - Instructions and recommended materials/fabrics see Internet
 - I have good experience in making patterns and running sewing workshops. I have one friend how is professional in sewing. we need all the instruments: swings machines, electric scissors, big room 8*5, big table 7*4, textiles.",
104,Hospital & Medical Care,Advance directive notification tool,"The consequences of a virus contamination can be serious in terms of medical interventions, especially in the Intensive Care Unit where some patients need to be artificially ventilated (intubation).","As some people do not want such invasive procedures, it would be relevant, out of respect for their intention and given the potentially limited resources available, to be able to be aware of this intention. To do so one uses so-called advanced directives (Informations: https://www.ch.ch/fr/directives-anticipees/).","A system (communication strategy, process) and a tool to enable people who so wish to easily express and modify their advance directives would be desirable and useful. The solution should also make it possible to easily inform the health professionals in charge of the patient of the existence of such advance directives.",The solution should ideally include a draft communication strategy addressing relevant target groups. The tool concept and/or prototype must also respect stringent privacy regulations and security standards.,Genève Lab (State of Geneva)
105,Hospital & Medical Care,Platform for on-line rehabilitation courses and childbirth preparation,For inpatients and outpatients,"Set up a platform to propose some classroom and/or on-line courses for :
 - rehabilitation by physiotherapist or speach therapist (inpatients or outpatients) 
 - childbirth preparation (women who can not leave their home)",,,
106,Hospital & Medical Care,Data workflows and algorithms to optimize the allocation of key resources in the health care supply chain.,"Health care supply chains are struggling to meet the huge demand placed upon them and we are facing a crisis where difficult decisions need to be made regarding the allocation and deployment of key resources (PPE, ventilators, medicine, etc.).",Good quality data is essential to the decision making process but this is not always guaranteed or available. We need to take a critical look at the available data resources and find new approaches to alleviating the current burden.,"A set of objective functions developed using available data resources. The process will involve four stages: Collection, Processing, Optimization, and Validation. This workflow will be demonstrated for a specific problem and could be adopted by future applications.","Openly available datasets will be the primary resource, but collaboration with data owners and producers is encouraged. This may include geographic information, patient ventilator needs, numbers of critical patients, hospital reserves for protective equipment, or information on critical new cases.",Empa
107,Hospital & Medical Care,Capacity Tracker for Hospitals,"Soon, and partially already today, every COVID-19 patient gets the health care needed for a timely response to their illness (see the situation in neighboring countries)","Since we live in a decentralized health system with most hospitals and care centers being cantonal, communal or even private - we need to make sure that we can allocate the available (ICU) beds, ventilators, etc. as efficient as possible.","A system which allocates hospital / care center capacities to people / other regions, based on certain indices","Partners needed: Programmer, AI expert, comms person, federal and/or cantonal representative, anonymized health data",
108,Hospital & Medical Care,Supporting Medical Staff,Medical staff is living currently an extremely challenging moment fighting with the nouvel covid-19 virus. They need support.,"Doctors and nurses are exposed to stress and high risk. Since they have to deal with very large number of patients due to the pandemic, any help could make their life easier, respectively more patients could benefit from on-time medical advice and care. If in one moment there will be no enough medical staff, there is a risk patients to spend time not being attended. And there is the risk that the hospital staff and infrastructure will be highly taxed.","Different solutions have been suggested:
 - Some task and initial help, e.g. administrative, organisational or any other where not medical education is strictly needed, could be performed by non-medical staff. Identify such tasks and activities and create on-line courses to learn how to be in help. These may be useful in case of any other type of crisis that the society can face in future. Better be prepared and share solidarity.
 - Our mission is to build a safety net of voluntary supporters for hospitals and other care institutions in crisis.","Different resources have been requested:
 - Doctors, nurses, web-designer, on-line courses content development expert, etc
 - https://www.medicalinformatics.ch/contribute",
109,Hospital & Medical Care,Healthdesk,Healthcare capacity is overshot and field hospitals have to be set up.,Setting up a healthcare management system that works in the field within minutes.,"An application easing up the 4 major steps: triage, admission, bed management, and patient/health tracking.",We already have a very rough idea/prototype; we'd like to talk to more healthcare staff though. Potentially a dataset of symptoms vs actual risk would also help for triage assistance.,
110,Hospital & Medical Care,Treatment comparison,"There is no approved therapy for Covid 19. The goal is to build a platform where medical professionals can share their medication and their success internationally. (Embola drugs, malaria drugs)",How can we allow medical professionals an easy exchange to share their medication and their success internationally?,"Build a platform where medical professionals can share their medication and their success internationally. (Embola drugs, malaria drugs)",,
111,Hospital & Medical Care,An ICU syringe pump in 30 min,Syringe pumps may become scarce in ICUs during the 2020 COVID-19 pandemic.,"To provide an ""Ikea style"" instruction set to build a pump, reliably, quickly, from a single-purchase set of parts (micro-controller, IDE, sensors, motor drivers, stepper motors, structural elements, gears, interface, power supply and backup), and already well spread around the globe.","We propose to use a single LEGO Technic set providing all needed parts (Mindstorms EV3), and code, design, document, and validate a pump. The community: LEGO enthusiasts, mechanical/medtech/quality engineers, developers, web designers, and quarantined ICU MDs/nurses.","Insights and typical specs of ICU syringe pump design and operation (from med and industry experts), people with EV3 Lego sets at home, and many more people (see prior non-exhaustive list).",
112,Hospital & Medical Care,Real-time monitoring of available beds for intensive care,Es gibt nur eine limitierte Anzahl Intensivbetten. Je nach Region unterscheidet sich die freie Anzahl solcher Betten,Es ist nicht klar wann die kritische Grenze der verfügbaren Betten erreicht wurde.,"Lokale Infektionsraten sollen den verfügbaren Intensivbetten gegenübergestellt werden, um mögliche Aussagen zum kritischen Punkt zu treffen. So können kritische Patienten vorzeitig in andere Regionen transferiert werden, in denen es mehr Betten gibt",Anzahl Intensivbetten und Infektionsraten in den Regionen,
113,Hospital & Medical Care,Hospital Resource Planning,Hospitals have a hard time to adapt their resource planning along the patient predictions. Historical experience is of little value. Calculation tools are missing.,"Linking epidemic prediction model(s) and thus expected patient flow with resource planing for beds, intensive care beds, personnel, medication, material",,"I have started to puzzle piece a calculator with different tools and from different sources. Started with an epidemic model in ""R"" (not done by me), transfered the results to calculate the needs in Excel. I have for many resources the ratios per patient at hand. But not for everything yet. Maybe that is something that the user can also specify him/her-self.",
114,Hospital & Medical Care,HowMany,"Before and during such a crisis, the authorities do not have a clear view and level of the stock of necessity material like masks, beds, respirators",Give the authorities a clear status of what is where and how much in order to be able to organize a flat distribution - even between countries! And be ready for the next pandemic or crisis!,A simple well done centralized database in the cloud (very easy to do),"Coders, database & open data specialists, testers",
115,Hospital & Medical Care,Build respirators,Very likely we haven’t got enough respirators or other countries may need them or need them already.,The objective is the development of a simplified ventilation device that is built with the help of a 3D printer and a few components so that it can be easily reproduced and assembled by volunteers all over the world. It’s already in progress and we habe to go from there and organise production in Switzerland. https://coresponse.github.io/blog/,Check the situation and the need. Take part in design a respirator that can be printed with a 3-D-printer (if not accomplished by then already). Organise and produce respirators in Switzerland and give them to the hospitals in need.,"See above, so far is the project in another country, all the rest is needed.",
116,Hospital & Medical Care,"More outpatient (ambulant), less inpatient (stationär)","Emergency beds are apparently in short supply. Furthermore, there is a risk of infection for other patients in the hospitals. Caring for more people at home seems a good approach.","How can outpatient (ambulant) treatment be promoted in favour of inpatient (stationär) treatment through digital processes, products or services?",,,
117,Hospital & Medical Care,Equinox,Immigrants can’t get to the same language doctors,"Immigrants don’t know how to find doctors who speaks their language, nearest to their location and that choose to ask reimbursement directly to the insurance, so they feel encouraged to visit.","Web platform with doctors listings and their location, filtered by language, location, price and way of payments","API with UX, POIS, with a recommendation architecture, online peer to peer payment method.",
118,Hospital & Medical Care,Le développement du microbiote du nouveau-né de mères covid-19 positives.,"Dans certaines maternités, dans le cas où la mère est covid positive ou suspecte, elle doit porter un masque et son enfant doit se tenir à 2 mètres d'elle sauf pendant l'allaitement. Dès le retour à domicile, ces mesures doivent-elles être maintenues? Qu'en est-il dans ce contexte du développement du microbiote du nouveau-né, reconnu comme étant indispensable au développement de son immunité?","L'éloignement mère-enfant est un frein au développement du microbiote du nouveau-né et donc de son immunité (risque d'engendrer plus de pathologies, d'allergies ou d'intolérances par la suite chez ces enfants?).",Maintenir le lien mère-enfant (peau à peau etc) tout en conservant les normes d'hygiènes standards. S'appuyer sur des études sur le microbiote du nouveau-né et sur l'effet du covid-19 sur eux pour soutenir les recommandations en vigueur dans les maternités puis à domicile.,"Analyses d'études sur le développement du microbiote du nouveau-né (sujet en plein essor), sur l'impact du covid-19 chez les nouveaux-nés. Experts dans le domaine du microbiote.",
119,Hospital & Medical Care,Production of Vaccine,,"How can we guarantee that once a vaccine against Coivd-19 is available, production will start globally as soon as possible and will be decentralized and all countries will have access to sufficient doses of vaccine as soon as possible?",,,"This challenge has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
120,Isolation & Mental Health,Measuring the Social Burden,The measures implemented by the state cause many unwanted and unexpected consequences on the people's social life and psychology.,How can the psychological and/or social impact of the measures taken on society be assessed in order to make recommendations for the future?,"Test new ways of analysing the impact of the COVID-19 measures on our lives (e.g. surveys, crowd-based mapping, ""Bürgerforum"") and summarises the discovered pros and cons of different measures based on the new insights.",An interdisciplinary and creative team.,"This challenge (without a suggested solution) has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
121,Isolation & Mental Health,Providing psychological support ,"Existing patients and the general population's needs in terms of psychological support may increase. Specially those who are who are psychologically and / or physically weakened, living alone or in institutions (health, prison, etc.) may see their condition worsened due to the lack of stimuli and outside social contact. Ambulatory psychiatric support is hard to access. People and families that already have difficulties dealing with the usual challenges of everyday life experience severe psychological distress (children at home, panic, isolation, economic uncertainty).","How do we support the population in regards to mental health? How can we make psychological support easy accesible (organized offers, language, quality) for existing patients and all during confinement? ","Suggested solutions:
- A concept for a remote system (telephone or digital) allowing dedicated psychological support for the concerned target groups
- Plattform with praxis that offer online/telephone advice, specially in acute situations 
- Link people with support dogs. Dogistics Management: create a smartphone application in order to facilitate synergy between the various actors in the cynological field (training institutions for service dogs, certified trainers, behaviorists, veterinarians, dog handlers and their dog according to the latter's specialization) and beneficiaries (and their referent for people with cognitive impairment affecting the ability to discern) Beneficiaries could be: people in emotional distress seeking contact with a ""visiting"" dog for a few hours;owners looking for educators / behaviorists; people with reduced mobility who are looking for a ""permanent"" dog via an institution; etc. 
- Une plateforme ciblée, mais pas tous utilisent les moyens technologiques type ordinateur
- Self-help chatbot: A chatbot deals with different issues and proposes coping mechanisms for self-help","psychologists and social workers who know peoples' issues and the respective coping mechanism, Programmers, dog's professionals, UI/UX designers
Think tank,Ethics commission, Specialists in law of emerging technologies",Genève Lab (State of Geneva)
122,Isolation & Mental Health,Corona Pause - Good thoughts! ,"Only bad news are available in all channels, and only about coronavirus. In these difficult times a daily beautiful flower can help to foster hope, bring joy and 
bliss.","How can we help reduce feelings of isolation, anxiety, depressions and fear bringing a bit of good news and something positive and beautiful everyday instead of bad news?","Suggested solutions:
- Online Blogmaganize with inspiring posts, sharing also the diffculties of times 
- Screen-Lock App: There is already an free MVP i.e. anti-app existing for iOS and Android: Flamboyant Flowers - it should be further enhanced and optimised with 365 Flowers - one for every day and promoted as carrier for hope - FLOWERS still grow and bloom - so can we all!",Nicolas has over 10000 consistent photographs in high-resolution of different flowers and the world wide copyrights. I have also gathered over 400 botanical names. Some examples here: https://www.flamboyantflowers.com/,
123,Isolation & Mental Health,Support through games ,"While the biological coronavirus may not put most people's life at 
stake, the virus affects us all in our mindset. Some of us may feel depressed, lonely, or just not see what they can do to help themselves and others. Without personal contact, it is difficult to play dice, card or other board games while skyping. ",Can we help ease the isolation through access to games? How can we also help the system of prevention? ,"Several solution:
- Breathing Games Association (Fabio Balli): We built a functional platformer game (Unity C# / Photon) based on previous libre/open-source games and breath-through controller we developed and clinically tested. Now, we need to create attractive game levels, develop the story, characters, etc. A multiplayer online game to foster peer sharing, belonging, and fun in a constructive mindset. The game combines collaborative challenges and health-related contents.
- Swiss Social mGames: A WebApp with 2D graphics, everyone can create rooms using a unique name
- Create a sort of Skype app with the possibility of participants creating games themselves - whether with card or dices or even a custom card set.
- PandeMeet@CoronaEdition (Simona Mazzotta) is an application which turns scientifically proven preventive measures into a fun game! While performing your daily actions you will be awarded/subtracted points. Your score identifies you as “Safe/Unsafe to PandeMeet” among your friends. ","Professional and passionate game designers, C# developers, sound and visual artists, data architects, mathematicians, etc. Web Developer (2D Graphics, Canvas), Artits drawing graphics. 
- Simona Mazzotta needs only a server to host application
- Kyriakos is looking to join a team: We are 2 entrepreneurs with a PhD in Life Sciences and 1 psychologist. We ask for 1 more psychologist, 1 community manager and 1 graphic designer to help us launch asap..",
124,Isolation & Mental Health,Provide depression&suicide amoung adolescents,Mit social distancing steigt das Risiko von Depression und Suizidalität bei Jugendlichen. ,"Wie kann der Handlungsleitfaden ""https://www.bernergesundheit.ch/wp-content/uploads/2017/09/praevention_depression_suizid_merkpunkte_handlungsleitfaden_lehrpersonen_d.pdf""   in ein digitales Tool (z.B. App) überführt werden?",Digitale app-Lösung,Expertise in digitaler Entwicklung,Berner Gesundheit
125,Isolation & Mental Health,Together against Isolation,People feel very isolated in their homes and miss having connection. Singles or people living alone miss conversations or social interaction. The COVID-19 crisis is besides a physical health problem becoming a social problem as well. ,How can we connect isolated people?  What are alternative ways to connect with others?,"Suggested solution: 
- Pandemic Buddies: Create a buddy system, where single people and families call each other daily to check in on each other 
- Pool of listeners, tell me your day: A pool of volunteer listeners who will invest 1-2 hours a day in listening to lonely people.
- Online support: one to one sessions, group sessions, whatsapp groups, virtual get togethers. Keeping in contact.
- Provide easy accessible online-offerings for social exchange (like chats, online courses, tipps & tricks, readings, etc.) to stay mentally healthy
- A facilitated platform for specific groups where they can talk, share, encourage, and listen to others.
- Project Omnes (Fabian Wawro): Meditation online We've built an online platform allowing people from around the world to meditate together—regardless of their ethnic, religious, and social affiliations. So far, we've got a working prototype that can be found on www.omnes.live 
- In some households, television sets are constantly on: people watching movies and Netflix series, surfing on social media. Could information be disseminated also on those channels.","UX/UI designers, Design Sprint team to initiate, create prototype and test with real users, psychologist, Sociologist, educator (primary, secondary school)",City of Lucerne
126,Isolation & Mental Health,Developing needed technical skills ,"Many people from all ages don't have sufficient technical know how to use technologies, set up video calls, use tech tools ",How to bring technical skills needed to combat isolation virtually? ,"Suggested solutions: 
- Online peer community: A one stop solution which helps organisations and peer groups to set up a mashup of technologies like Zoom, Telegram or Whatsapp
- Video conf4all: Self installing tablets to give access to videoconference to everyone, including the elderly part of the population
- Create an app that after installation allow you with just a few clicks to connect to someone you trust who then can see your screen and help you do what you want through vocal and visual feedback.",,
127,Isolation & Mental Health,Surviving the confinent ,"Families must adapt to these new configurations. Children must now learn from home, where home environmental factors can significantly affect their ability to learn effectively. Parents might be also overwhealmed. ","How can we handle the associated challenges of personal health, home office/kindergarten, self-isolation, caring for the young and the elderly? Can we have some kind of guidance? ","Suggested solutions: 
- A mental health resource finder will allow parents to discreetly find resources that match their needs
- Guide of confinement: Propose a digital white paper
- Co-Videos (Russell Jones): short focused tutorials on aspects of handling life during the covid pandemic. For example, on self-care, on showing parents new routines for organizing their kids’ daytime at home, or physicians how to hack ventilators for several patients’ use. ",,
128,Isolation & Mental Health,Online Cooking Meetup ,"What do I eat? 

- People have to stay at home and need to organize all their meals by themselves 
- People can't share their meal anymore with friends or colleagues

How I use my time wisely? 

- People have much time and don't know how to use it for self care (psychologically & physically) ","- People needs to eat, but together with others
- People want to spend their time wisely and learn something new 
- People want to exchange with others about sustainable and healthy lifestyle  
","Online Cooking Meetup 

We offer people (e.g. organizer, cooking teacher, cooking students and experienced guests) the online platform “Cooking Meetup”. The goal is to cook as a group and to raise awareness about how to self care mind and body with a healthy meal.","- Project Leader
- IT Project Leader
- Programmer
- Researcher
- Social Media 
- Growth Hacker
- Business Developer 
- Product Owner
- Marketer",
129,Isolation & Mental Health,Life APP - Mentoring Platform,"Many people need mentoring, it can be any kind for private or business purposes. For example if people have to overcome financial shortages, mental issues or anxiety or physical challenges","Connect / Matchmaker caregiver (mentors) to people in need. Reducing mental stress or feeling of loneliness. We can just matchmake person A to person B who wants to talk on a certain topic without cost = winwin for both. We have two AI engines we can use so we have a more ""suffisticated"" match of possible people.",we already have around 100 experts in our network and would need the technical platform to connect these with people in need. Regarding payment we already have solutions. ,"tech people who can build an MVP (we have the description etc). We also have an amazing group of mentors, coaches, therapist etc.",
130,Other ,Use the crisis to make the transition to a ressource-light economy,"After the crisis, companies will be focussing on driving up their production, profits and efficiency rates - like in a post-war scenario. Experience has shown that these times are excessive in terms of emission and environment destruction rates.  ","“In the rush to normal, use this time to consider which parts of normal are worth rushing back to” - Dave hollis
How to foster companies to use this crisis time to rethink their goals and structure and support them in transitioning their activities to resource-light and viable ones on the long run?",Promoting best practices from companies switching their activities/product designs/supply chains/business models into more resource light ones. ,"We have expertise in the Circular Economy and regulatory framework - please reach out for specific inputs or resources 
",
131,Other ,Energy Infrastructure,"Just like the economy, energy supply is also subject to only a few channels. This topic is often forgotten and only smiled at like the possibility of a pandemic. ","How do we protect ourselves and especially the digital world, including telephony and money transactions, in case of a longer power failure. Is it to be justified that we are only dependent on a few specialists who control our energy supply and can just as easily become the victims of a virus?",,,
132,Other ,Unfreeze Democracy,"Democracy is currently on hold. Votations are postponed, collecting signatures became basically impossible, reunions on all federal levels are cancelled and political education ranks poorly in home-schooling priorities.",There is a huge variety of tools for digital participation and online political education. How can we match them with the respective target group?,We propose an interface where target groups and civic tech tools meet and try to find a way to bring those tools out of their current bubble. ,There are already good tools and overviews for digital participation and online political education. We need someone to help us to create an efficient interface and the right channels to make the tools known to a larger public. ,
133,Other ,The Pandemia Parliament,"Currently, democracy is down. Most parliaments can not meet. This is dangerous. 
Some parliaments do meet, in person, but forbid the general population to meet. Dangerous. 
Bringing parliaments on line is dangerous as well, but we must and will try.","It's a touch context: Parliaments are mostly unprepared for a crisis, and they're very much a paper-based, in-person affair. And it's a tough security and usability challenge. Plus there are very serious legal questions. It's tough. We need you.","We have clear requirements, compiled with leading experts. We have feasible implementation options, both from a legal and technical point of view - let's pick one -or several- and try to do a proof-of-concept.

https://md.schoolofdata.ch/M4vyv3OPSxeeSA4XjKxB3Q?both","* Developers, ideally with Webrtc experience and knowledge of the key platforms/ frameworks for secure conferencing, messaging and maybe voting
* Security experts
* Legal experts 
* Members of any parliament on any level, plus staff, offices, etc.
* User Experience Designers
* Marketing specialists",
134,Other ,Digital assemblies,"Online assembly with voting for parliament, companies, associations",General meetings and relevant votes are currently not possible. Online voting is not trusted.,Do the assembly online and the democratic votes correctly so everyone can take part,,
135,Other ,Product information without paper,"Products (including medical devices and medicines) come with paper instructions that are not needed in most cases, especially not in the many languages. These paper documents have to be printed, packaged, transported and discarded, creating movements in our economy and society that have little value. How can we change this?  ",I want to provide the instruction information with the same certainty as taking the paper out of a product packaging but without having the paper in the package. In all available languages and without searching (Googleing) for the information. ,A method that will allow a product user to get to the product instruction in the required language without making any selection or decision on her/his own.,"Process specialists, legal experts, IT experts",
136,Other ,Earth protect,People die from consequences of climate destruction.,Adapt the covid-19 measures to climate emergency.,Implication of politics to force acceptation of climate measures,"No idea, hence the challenge...",
137,Other ,Overcoming Capitalism,"Replacing money with real values (solidarity, curiosity, honesty) as driving factor for local and global society and its development.",The fear of not getting enough or losing something is still strong. How can it be replaced with the trust to always have enough to live?,"Unbundling the complex networks of driving factors behind selfishness on personal, local and global levels. Things our government is already trying to understand.","A country or a world, to test and implement the idea. ;-) Or some experts from different fields of expertise, to proof the the resulting concepts.",
